model,accuracy,precision,recall,f1,auc,reg_MAE,reg_RMSE,reg_R2,reg_Adjusted_R2
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,21.098604259640457,41.70210467903215,0.348162572160543,0.30913039085279115
Decision Tree,0.7640449438202247,0.76,0.5588235294117647,0.6440677966101694,0.8373663101604277,21.098604259640457,41.70210467903215,0.348162572160543,0.30913039085279115
Random Forest,0.8089887640449438,0.765625,0.7205882352941176,0.7424242424242424,0.8195855614973262,21.098604259640457,41.70210467903215,0.348162572160543,0.30913039085279115
